"x","y"
"1466001900000","17325.729166666668"
"1466135100000","10205.770833333334"
"1466268300000","8579.369791666666"
"1466401500000","2198.8697916666665"
"1466534700000","4440.90625"
"1466667900000","9424.755208333334"
"1466801100000","9732.552083333334"
"1466934300000","2458.5833333333335"
"1467067500000","3304.5260416666665"
"1467200700000","3516.25"
"1467333900000","4192.880208333333"
"1467467100000","3056.1458333333335"
"1467600300000","3208.3125"
"1467733500000","3700.6979166666665"
"1467866700000","3158.84375"
"1467999900000","3700.3072916666665"
"1468133100000","2972.9270833333335"
"1468266300000","2970.046875"
"1468399500000","4164.796875"
"1468532700000","4228.317708333333"
"1468665900000","3307.9166666666665"
"1468799100000","3065.8489583333335"
"1468932300000","5029.416666666667"
"1469065500000","4963.473958333333"
"1469198700000","4632.322916666667"
"1469331900000","3638.4479166666665"
"1469465100000","4076.3072916666665"
"1469598300000","6080.1875"
"1469731500000","5876.90625"
"1469864700000","5184.46875"
"1469997900000","3832.6770833333335"
"1470131100000","4019.9895833333335"
"1470264300000","3763.53125"
"1470397500000","3761.5208333333335"
"1470530700000","2599.5104166666665"
"1470663900000","5147.067708333333"
"1470797100000","7188.328125"
"1470930300000","6145.697916666667"
"1471063500000","4014.125"
"1471196700000","2670.1770833333335"
"1471329900000","8254.489583333334"
"1471463100000","6793.958333333333"
"1471596300000","4765.65625"
"1471729500000","3357.390625"
"1471862700000","3534.6614583333335"
"1471995900000","4133.322916666667"
"1472129100000","4062.0989583333335"
"1472262300000","4612.802083333333"
"1472395500000","3331.4635416666665"
"1472528700000","4134.067708333333"
"1472661900000","5165.151041666667"
"1472795100000","3832.6041666666665"
"1472928300000","4140.114583333333"
"1473061500000","3009.3645833333335"
"1473194700000","4097.625"
"1473327900000","3426.34375"
"1473461100000","4845.953125"
"1473594300000","3376.046875"
"1473727500000","3393"
"1473860700000","3769.5885416666665"
"1473993900000","4936.489583333333"
"1474127100000","6544.703125"
"1474260300000","3609.3802083333335"
"1474393500000","5612.994791666667"
"1474526700000","3129.5885416666665"
"1474659900000","4992.098958333333"
"1474793100000","2507.3697916666665"
"1474926300000","3377.8125"
"1475059500000","4513.125"
"1475192700000","5490.010416666667"
"1475325900000","3827.21875"
"1475459100000","5048.661458333333"
"1475592300000","5071.229166666667"
"1475725500000","5743.010416666667"
"1475858700000","5025.953125"
"1475991900000","3016"
"1476125100000","7160.182291666667"
"1476258300000","8991.296875"
"1476391500000","5731.036458333333"
"1476524700000","6347.755208333333"
"1476657900000","3594.4947916666665"
"1476791100000","8518.333333333334"
"1476924300000","9951.453125"
"1477057500000","5859.708333333333"
"1477190700000","3888.703125"
"1477323900000","6441.864583333333"
"1477457100000","19469.697916666668"
"1477590300000","38810.4375"
"1477723500000","4018.1614583333335"
"1477856700000","3193.4739583333335"
"1477989900000","4933.166666666667"
"1478123100000","5999.401041666667"
"1478256300000","6254.348958333333"
"1478389500000","5538.4375"
"1478522700000","5360.307291666667"
"1478655900000","5192.21875"
"1478789100000","4109.442708333333"
"1478922300000","3643.6770833333335"
"1479055500000","4074.2604166666665"
"1479188700000","4617.088541666667"
"1479321900000","3922.203125"
"1479455100000","7239.911458333333"
"1479588300000","4200.182291666667"
"1479721500000","8704.473958333334"
"1479854700000","35259.791666666664"
"1479987900000","56215.052083333336"
"1480121100000","20356.411458333332"
"1480254300000","5590.234375"
"1480387500000","7484.973958333333"
"1480520700000","7707.041666666667"
"1480653900000","25142.197916666668"
"1480787100000","16345.723958333334"
"1480920300000","6658.963541666667"
"1481053500000","24541.677083333332"
"1481186700000","6081.604166666667"
"1481319900000","8046.958333333333"
"1481453100000","6235.25"
"1481586300000","7593.208333333333"
"1481719500000","7301.010416666667"
"1481852700000","14544.822916666666"
"1481985900000","7994.630208333333"
"1482119100000","7003.223958333333"
"1482252300000","8095"
"1482385500000","9682.25"
"1482518700000","6357.645833333333"
"1482651900000","6249.505208333333"
"1482785100000","5566.40625"
"1482918300000","5058.380208333333"
"1483051500000","7236.536458333333"
"1483184700000","4871.703125"
"1483317900000","4465.953125"
"1483451100000","5498.25"
"1483584300000","10326.65625"
"1483717500000","31690.317708333332"
"1483850700000","9738.973958333334"
"1483983900000","6799.703125"
"1484117100000","9711.369791666666"
"1484250300000","7199.875"
"1484383500000","6250.15625"
"1484516700000","3092.9114583333335"
"1484649900000","7842.984375"
"1484783100000","5546.71875"
"1484916300000","4048.765625"
"1485049500000","2549.3645833333335"
"1485182700000","4670.770833333333"
"1485315900000","56289.5625"
"1485449100000","15755.234375"
"1485582300000","4228.505208333333"
"1485715500000","8564.869791666666"
"1485848700000","19465.276041666668"
"1485981900000","16406.5625"
"1486115100000","47300.890625"
"1486248300000","23213.307291666668"
"1486381500000","9633.708333333334"
"1486514700000","61635.947916666664"
"1486647900000","33527.041666666664"
"1486781100000","13830.40625"
"1486914300000","7088.3125"
"1487047500000","8495.729166666666"
"1487180700000","12851.369791666666"
"1487313900000","27144.885416666668"
"1487447100000","15648"
"1487580300000","11655.052083333334"
"1487713500000","48002.083333333336"
"1487846700000","91128.64583333333"
"1487979900000","66428.16145833333"
"1488113100000","20459.046875"
"1488246300000","22481.666666666668"
"1488379500000","43090.71875"
"1488512700000","63930.479166666664"
"1488645900000","60959.317708333336"
"1488779100000","37337.546875"
"1488912300000","60618.572916666664"
"1489045500000","47519.536458333336"
"1489178700000","32465.432291666668"
"1489311900000","16751.520833333332"
"1489445100000","21183.927083333332"
"1489578300000","21311.265625"
"1489711500000","21408.411458333332"
"1489844700000","16943.109375"
"1489977900000","4446.119791666667"
