"x","y"
"1231568277000","0"
"1231980679000","0"
"1232357462000","0"
"1232771110000","0"
"1233046715000","0"
"1233418917000","0"
"1233753984000","0"
"1234089997000","0"
"1234426529000","0"
"1234761535000","0"
"1235116259000","0"
"1235492527000","0"
"1235891808000","0"
"1236295597000","0"
"1236687021000","0"
"1237066758000","0"
"1237427295000","0"
"1237829680000","0"
"1238215662000","0"
"1238601437000","0"
"1238981341000","0"
"1239399507000","0"
"1239759965000","0"
"1240123131000","0"
"1240507071000","0"
"1240897355000","0"
"1241238697000","0"
"1241596868000","0"
"1242023457000","0"
"1242362405000","0"
"1242721893000","0"
"1243272881000","0"
"1243676325000","0"
"1244169973000","0"
"1244863732000","0"
"1245410704000","0"
"1245982565000","0"
"1246555832000","0"
"1247090533000","0"
"1247691433000","0"
"1248437126000","0"
"1249532495000","0"
"1250087132000","0"
"1251473686000","0"
"1252058474000","0"
"1252709942000","0"
"1253334446000","0"
"1253969582000","0"
"1254509551000","0"
"1255241423000","0"
"1255913928000","0"
"1256398268000","0"
"1257190248000","0"
"1257859891000","0"
"1258384958000","0"
"1258897330000","0"
"1259380971000","0"
"1260010861000","0"
"1260440629000","0"
"1260828619000","0"
"1261130164000","0"
"1261337290000","0"
"1261595414000","0"
"1261866483000","0"
"1262142817000","0"
"1262505896000","0"
"1262723436000","0"
"1262996937000","0"
"1263257651000","0"
"1263537427000","0"
"1263863139000","0"
"1264147211000","0"
"1264418198000","0"
"1264653290000","0"
"1264878775000","0"
"1265126907000","0"
"1265309617000","0"
"1265517266000","0"
"1265714748000","0"
"1265960295000","0"
"1266165823000","0"
"1266390093000","0"
"1266599719000","0"
"1266796158000","0"
"1266966106000","0"
"1267224955000","0"
"1267474643000","0"
"1267722972000","0"
"1267969117000","0"
"1268256699000","0"
"1268571593000","0"
"1268893976000","0"
"1269156798000","0"
"1269384603000","0"
"1269617684000","0"
"1269851682000","0"
"1270087103000","0"
"1270351521000","0"
"1270615800000","0"
"1270844373000","0"
"1271023953000","0"
"1271250872000","0"
"1271464816000","0"
"1271655422000","0"
"1271852140000","0"
"1272119905000","0"
"1272372526000","0"
"1272641307000","0"
"1272905327000","0"
"1273214524000","0"
"1273530114000","0"
"1273881675000","0"
"1274224427000","0"
"1274469199000","0"
"1274692364000","0"
"1274900168000","0"
"1275113789000","0"
"1275402422000","0"
"1275710201000","0"
"1275999557000","0"
"1276269777000","0"
"1276552336000","0"
"1276823934000","0"
"1277094725000","0"
"1277361931000","0"
"1277642923000","0"
"1277902927000","0"
"1278131678000","0"
"1278370047000","0"
"1278643737000","0"
"1278872377000","0"
"1278966632000","0"
"1279029032000","0"
"1279108028000","0"
"1279185558000","0"
"1279257613000","0"
"1279394636000","0"
"1279642645000","0"
"1279874910000","0"
"1280091845000","0"
"1280312537000","0"
"1280555659000","0"
"1280744493000","0"
"1280932358000","0"
"1281151587000","0"
"1281390609000","0"
"1281596317000","0"
"1281782624000","0"
"1281991061000","0"
"1282298308000","263401.25"
"1282521714000","265133.75"
"1282722567000","266873.25"
"1282944885000","268644.25"
"1283211251000","270385.2083333333"
"1283469066000","233253.625"
"1283723803000","234742.5"
"1283994174000","236251.5"
"1284263175000","237748.5"
"1284498592000","239233.5"
"1284712179000","240727.5"
"1284913744000","242221.5"
"1285139505000","243712.5"
"1285338429000","245197.5"
"1285542866000","246685.5"
"1285746222000","248199.875"
"1286054478000","249685.5"
"1286367137000","251179.5"
"1286639353000","421117.5"
"1286898034000","508325.25"
"1287126123000","468717.5625"
"1287310261000","471468.25"
"1287488444000","431122.5"
"1287660119000","433642.5"
"1287919405000","567024.25"
"1288113207000","701868"
"1288312152000","838218.25"
"1288499447000","842992"
"1288742248000","892333.3333333334"
"1288958652000","1076814"
"1289149740000","1533969.5"
"1289318414000","1633176"
"1289524916000","1151731.75"
"1289734830000","1375971.25"
"1289942698000","1291304"
"1290112462000","1298421.25"
"1290419316000","1352033.7708333333"
"1290696378000","1312409"
"1290923870000","1319423"
"1291139102000","1326479"
"1291369448000","1190602.0833333333"
"1291565963000","1196905.7291666667"
"1291750853000","1106953.1041666667"
"1291932610000","1209443.75"
"1292199039000","1118455.9791666667"
"1292459559000","1148817.375"
"1292718983000","1228356.25"
"1292957756000","1333442.25"
"1293250438000","1240981.25"
"1293514523000","1346969.25"
"1293778479000","1504192.5"
"1294029437000","1511692.5"
"1294306879000","1519132.5"
"1294582500000","1628360"
"1294842248000","1687529.25"
"1295081019000","2261019.75"
"1295339449000","2065459.1666666667"
"1295592233000","1971753.5"
"1295850878000","2294105"
"1296095276000","2211156.4166666665"
"1296366596000","2368608.75"
"1296628870000","4865305"
"1296877445000","4729081.75"
"1297110196000","4911305"
"1297351491000","5202425.25"
"1297570316000","5872947.25"
"1297784423000","5845943.25"
"1297969350000","5709812.5"
"1298193833000","5462725"
"1298407652000","4829242"
"1298600528000","5285181.9375"
"1298767888000","5472670.541666667"
"1299015645000","5283971.25"
"1299243794000","5251709.5"
"1299412387000","5162787"
"1299604529000","5129283.25"
"1299925924000","5265214.375"
"1300270439000","5117737.5"
"1300614387000","4683245.5"
"1300920449000","4646234.25"
"1301196597000","5185057.5"
"1301473634000","4628820"
"1301712376000","4648980"
"1301966419000","4640312.375"
"1302228663000","4499070.1875"
"1302487409000","4493608.416666667"
"1302732741000","5438741"
"1303011730000","6470903.083333333"
"1303283500000","7094095.75"
"1303547617000","8260852.5"
"1303790301000","10278767.25"
"1304028686000","12795631"
"1304252292000","25090573.5"
"1304474641000","21334137.208333332"
"1304680122000","21507816"
