x,y
8579.369792,1705.276316
4440.90625,1489.348101
9732.552083,1665.530201
3304.526042,1842.054264
4192.880208,1476.387755
3208.3125,1546.4
3158.84375,1150.175325
2972.927083,1533.507143
4164.796875,1244.328859
3307.916667,1531.706294
5029.416667,1600.6
4632.322917,1505.641892
4076.307292,1636.135338
5876.90625,1482.983871
3832.677083,1840.648438
3763.53125,1676.336134
2599.510417,1630.506494
7188.328125,1350.556213
4014.125,1589.831081
8254.489583,1696.766667
4765.65625,1228.06135
3534.661458,1934.98374
4062.098958,1343.380645
3331.463542,1625.993197
5165.151042,1717.931818
4140.114583,1511.959732
4097.625,1696.185714
4845.953125,1023.709497
3393,1650.059211
4936.489583,1247.225806
3609.380208,1453.854545
3129.588542,1518.906475
2507.369792,1680.75188
4513.125,1639.907801
3827.21875,1057.524324
5071.229167,1587.804054
5025.953125,1362.611465
7160.182292,1675.075949
5731.036458,1862.405594
3594.494792,1798.354839
9951.453125,1794.554688
3888.703125,1522.123077
19469.69792,1592.664
4018.161458,1454.416107
4933.166667,1705.251799
6254.348958,1650.5
5360.307292,1644.748299
4109.442708,1754.825806
4074.260417,1475.72549
3922.203125,1837.380952
4200.182292,1362.416667
35259.79167,1797.128205
20356.41146,1864.358108
7484.973958,2056.064748
25142.19792,2028.012346
6658.963542,1648.534722
6081.604167,2060.943662
6235.25,1674.348837
7301.010417,2131.746667
7994.630208,1991.222222
8095,1722.192308
6357.645833,2225.866142
5566.40625,2048.283019
7236.536458,1826.866242
4465.953125,1829.880503
10326.65625,2060.721429
9738.973958,1557.491018
9711.369792,1980.771242
6250.15625,1408.540698
7842.984375,1852.512658
4048.765625,1578.714286
4670.770833,1706.73913
15755.23438,2024.225806
8564.869792,1446.868263
16406.5625,1825.833333
23213.30729,1977.625
61635.94792,2154.092715
13830.40625,2052.986395
8495.729167,1768.650307
27144.88542,1875.516556
11655.05208,1878.514925
91128.64583,2044.884058
20459.04688,1955.215569
43090.71875,2126.888889
60959.31771,2233.84106
60618.57292,2026.274648
32465.43229,2051.567568
21183.92708,1426.516129
21408.41146,2059.394366
4446.119792,1678.535032
7250.848958,2028.556338
3620.114583,1645.005682
13949,1759.780303
15102.23438,1760.902439
12174.93229,1545.588608
11025.76563,1954.04321
4611.807292,1656.635036
26066.68229,1843.670659
5120.09375,2087.827338
17191.34375,1776.695652
