x,y,
1.67E+12,3.097743056,6/10/2022 7:30
1.67E+12,3.103645833,6/10/2022 8:00
1.67E+12,3.108854167,6/10/2022 8:30
1.67E+12,3.110069444,6/10/2022 9:00
1.67E+12,3.110763889,6/10/2022 9:30
1.67E+12,3.110416667,6/10/2022 10:00
1.67E+12,3.113888889,6/10/2022 10:30
1.67E+12,3.110763889,6/10/2022 11:00
1.67E+12,3.114756944,6/10/2022 11:30
1.67E+12,3.115798611,6/10/2022 12:00
1.67E+12,3.117708333,6/10/2022 12:30
1.67E+12,3.11875,6/10/2022 13:00
1.67E+12,3.124305556,6/10/2022 13:30
1.67E+12,3.126388889,6/10/2022 14:00
1.67E+12,3.130034722,6/10/2022 14:30
1.67E+12,3.128819444,6/10/2022 15:00
1.67E+12,3.125694444,6/10/2022 15:30
1.67E+12,3.124826389,6/10/2022 16:00
1.67E+12,3.120833333,6/10/2022 16:30
1.67E+12,3.125520833,6/10/2022 17:00
1.67E+12,3.130902778,6/10/2022 17:30
1.67E+12,3.132118056,6/10/2022 18:00
1.67E+12,3.136111111,6/10/2022 18:30
1.67E+12,3.139236111,6/10/2022 19:00
1.67E+12,3.144444444,6/10/2022 19:30
1.67E+12,3.144097222,6/10/2022 20:00
1.67E+12,3.148090278,6/10/2022 20:30
1.67E+12,3.157118056,6/10/2022 21:00
1.67E+12,3.162326389,6/10/2022 21:30
1.67E+12,3.162847222,6/10/2022 22:00
1.67E+12,3.170138889,6/10/2022 22:30
1.67E+12,3.178472222,6/10/2022 23:00
1.67E+12,3.181423611,6/10/2022 23:30
1.67E+12,3.180902778,7/10/2022 0:00
1.67E+12,3.184375,7/10/2022 0:30
1.67E+12,3.182986111,7/10/2022 1:00
1.67E+12,3.186458333,7/10/2022 1:30
1.67E+12,3.188541667,7/10/2022 2:00
1.67E+12,3.183159722,7/10/2022 2:30
1.67E+12,3.189756944,7/10/2022 3:00
1.67E+12,3.194618056,7/10/2022 3:30
1.67E+12,3.187326389,7/10/2022 4:00
1.67E+12,3.190625,7/10/2022 4:30
1.67E+12,3.1921875,7/10/2022 5:00
1.67E+12,3.189236111,7/10/2022 5:30
1.67E+12,3.196701389,7/10/2022 6:00
1.67E+12,3.195486111,7/10/2022 6:30
1.67E+12,3.198090278,7/10/2022 7:00
1.67E+12,3.198611111,7/10/2022 7:30
1.67E+12,3.194444444,7/10/2022 8:00
1.67E+12,3.183506944,7/10/2022 8:30
1.67E+12,3.177777778,7/10/2022 9:00
1.67E+12,3.174479167,7/10/2022 9:30
1.67E+12,3.1734375,7/10/2022 10:00
1.67E+12,3.167708333,7/10/2022 10:30
1.67E+12,3.161805556,7/10/2022 11:00
1.67E+12,3.155208333,7/10/2022 11:30
1.67E+12,3.151041667,7/10/2022 12:00
1.67E+12,3.147569444,7/10/2022 12:30
1.67E+12,3.144791667,7/10/2022 13:00
1.67E+12,3.141145833,7/10/2022 13:30
1.67E+12,3.133506944,7/10/2022 14:00
1.67E+12,3.126041667,7/10/2022 14:30
1.67E+12,3.125347222,7/10/2022 15:00
1.67E+12,3.122222222,7/10/2022 15:30
1.67E+12,3.119097222,7/10/2022 16:00
1.67E+12,3.122569444,7/10/2022 16:30
1.67E+12,3.119618056,7/10/2022 17:00
1.67E+12,3.114756944,7/10/2022 17:30
1.67E+12,3.110416667,7/10/2022 18:00
1.67E+12,3.113368056,7/10/2022 18:30
1.67E+12,3.114409722,7/10/2022 19:00
1.67E+12,3.113194444,7/10/2022 19:30
1.67E+12,3.115625,7/10/2022 20:00
1.67E+12,3.115972222,7/10/2022 20:30
1.67E+12,3.115625,7/10/2022 21:00
1.67E+12,3.120138889,7/10/2022 21:30
1.67E+12,3.117361111,7/10/2022 22:00
1.67E+12,3.115538194,7/10/2022 22:30
1.67E+12,3.115711806,7/10/2022 23:00
1.67E+12,3.115190972,7/10/2022 23:30
1.67E+12,3.124045139,8/10/2022 0:00
1.67E+12,3.121961806,8/10/2022 0:30
1.67E+12,3.124045139,8/10/2022 1:00
1.67E+12,3.12421875,8/10/2022 1:30
1.67E+12,3.121788194,8/10/2022 2:00
1.67E+12,3.11640625,8/10/2022 2:30
1.67E+12,3.11328125,8/10/2022 3:00
1.67E+12,3.105989583,8/10/2022 3:30
1.67E+12,3.101822917,8/10/2022 4:00
1.67E+12,3.098871528,8/10/2022 4:30
1.67E+12,3.104253472,8/10/2022 5:00
1.67E+12,3.108940972,8/10/2022 5:30
1.67E+12,3.103732639,8/10/2022 6:00
1.67E+12,3.107204861,8/10/2022 6:30
1.67E+12,3.104600694,8/10/2022 7:00
1.67E+12,3.106336806,8/10/2022 7:30
1.67E+12,3.110329861,8/10/2022 8:00
1.67E+12,3.116927083,8/10/2022 8:30
1.67E+12,3.123003472,8/10/2022 9:00
1.67E+12,3.123003472,8/10/2022 9:30
1.67E+12,3.121440972,8/10/2022 10:00
1.67E+12,3.122482639,8/10/2022 10:30
1.67E+12,3.128211806,8/10/2022 11:00
1.67E+12,3.126822917,8/10/2022 11:30
1.67E+12,3.127864583,8/10/2022 12:00
1.67E+12,3.129774306,8/10/2022 12:30
1.67E+12,3.124392361,8/10/2022 13:00
1.67E+12,3.119878472,8/10/2022 13:30
1.67E+12,3.123871528,8/10/2022 14:00
1.67E+12,3.120572917,8/10/2022 14:30
1.67E+12,3.118663194,8/10/2022 15:00
1.67E+12,3.118836806,8/10/2022 15:30
1.67E+12,3.114149306,8/10/2022 16:00
1.67E+12,3.106163194,8/10/2022 16:30
1.67E+12,3.094357639,8/10/2022 17:00
1.67E+12,3.084288194,8/10/2022 17:30
1.67E+12,3.07734375,8/10/2022 18:00
1.67E+12,3.059635417,8/10/2022 18:30
1.67E+12,3.046614583,8/10/2022 19:00
1.67E+12,3.032725694,8/10/2022 19:30
1.67E+12,3.020225694,8/10/2022 20:00
1.67E+12,3.005295139,8/10/2022 20:30
1.67E+12,2.987586806,8/10/2022 21:00
1.67E+12,2.970052083,8/10/2022 21:30
1.67E+12,2.957204861,8/10/2022 22:00
1.67E+12,2.943229167,8/10/2022 22:30
1.67E+12,2.919618056,8/10/2022 23:00
1.67E+12,2.906944444,8/10/2022 23:30
1.67E+12,2.8921875,9/10/2022 0:00
1.67E+12,2.879513889,9/10/2022 0:30
1.67E+12,2.861284722,9/10/2022 1:00
1.67E+12,2.850694444,9/10/2022 1:30
1.67E+12,2.8390625,9/10/2022 2:00
1.67E+12,2.828125,9/10/2022 2:30
1.67E+12,2.81875,9/10/2022 3:00
1.67E+12,2.816840278,9/10/2022 3:30
1.67E+12,2.806770833,9/10/2022 4:00
1.67E+12,2.800868056,9/10/2022 4:30
1.67E+12,2.787847222,9/10/2022 5:00
1.67E+12,2.772916667,9/10/2022 5:30
1.67E+12,2.768055556,9/10/2022 6:00
1.67E+12,2.764409722,9/10/2022 6:30
1.67E+12,2.758680556,9/10/2022 7:00
1.67E+12,2.753125,9/10/2022 7:30
1.67E+12,2.742881944,9/10/2022 8:00
1.67E+12,2.734722222,9/10/2022 8:30
1.67E+12,2.722743056,9/10/2022 9:00
1.67E+12,2.710590278,9/10/2022 9:30
1.67E+12,2.703298611,9/10/2022 10:00
1.67E+12,2.699131944,9/10/2022 10:30
1.67E+12,2.693402778,9/10/2022 11:00
1.67E+12,2.688541667,9/10/2022 11:30
1.67E+12,2.683680556,9/10/2022 12:00
1.67E+12,2.676736111,9/10/2022 12:30
1.67E+12,2.675868056,9/10/2022 13:00
1.67E+12,2.670486111,9/10/2022 13:30
1.67E+12,2.659027778,9/10/2022 14:00
1.67E+12,2.650173611,9/10/2022 14:30
1.67E+12,2.642361111,9/10/2022 15:00
1.67E+12,2.634027778,9/10/2022 15:30
1.67E+12,2.623958333,9/10/2022 16:00
1.67E+12,2.616493056,9/10/2022 16:30
1.67E+12,2.608506944,9/10/2022 17:00
1.67E+12,2.5984375,9/10/2022 17:30
1.67E+12,2.590798611,9/10/2022 18:00
1.67E+12,2.588888889,9/10/2022 18:30
1.67E+12,2.5859375,9/10/2022 19:00
1.67E+12,2.583333333,9/10/2022 19:30
1.67E+12,2.578125,9/10/2022 20:00
1.67E+12,2.571180556,9/10/2022 20:30
1.67E+12,2.561111111,9/10/2022 21:00
1.67E+12,2.556423611,9/10/2022 21:30
1.67E+12,2.551909722,9/10/2022 22:00
1.67E+12,2.544097222,9/10/2022 22:30
1.67E+12,2.5390625,9/10/2022 23:00
1.67E+12,2.528819444,9/10/2022 23:30
1.67E+12,2.525,10/10/2022 0:00
