,acc,prec_macro,recall_macro,f1_macro
TransformerSimpleLayers_8,0.745522873,0.401690642,0.3925425,0.367712364
randomForest_8,0.823898778,0.579991623,0.575047971,0.566816067
xgBoost_8,0.831004733,0.58643484,0.583442546,0.573248868
xgBoostOld_8,0.762580622,0.381167316,0.359224,0.348968803
deepForest_8,0.824451162,0.581337394,0.58241216,0.571111383
xgBoostAdv0Layer_8,0.794876157,0.587262161,0.584045612,0.562023952
xgBoostAdv0LayerSimpleLayers_8,0.788346139,0.586890008,0.58303386,0.558244953
xgBoostAdv1LayerSimpleLayers_8,0.822797542,0.617259463,0.610059814,0.593131165
xgBoostAdv2LayerSimpleLayers_8,0.81363886,0.593291704,0.59333007,0.574899585
xgBoostLSTM0Layer_8,0.817355035,0.606238874,0.60365887,0.59422507
xgBoostLSTM0LayerSimpleLayers_8,0.802038858,0.597819869,0.594267729,0.569338394
xgBoostLSTM1LayerSimpleLayers_8,0.817913966,0.590903994,0.583949697,0.569111993
xgBoostLSTM2LayerSimpleLayers_8,0.793510438,0.570172348,0.5737003,0.549233154
