,k=8,k=6,k=4,k=2
MLP,0.7231622496845591,0.7608554869455104,0.8399640385565524,0.9271424813603192
Adv,0.7456595169450648,0.7357852072234276,0.8289390644204815,0.8867660202931112
Wht,0.7271369833843296,0.7264619051082771,0.8291185509032556,0.9218158634410959
LSTM,0.7363764495624475,0.7594183806841489,0.8596761711722704,0.8787626327820212
Transformer,0.7341862167674615,0.7640427877459327,0.8234181917355198,0.9243412607495095
randomForest,0.8238987781665763,0.8436070244708511,0.8793144669011842,0.9673692619009872
xgBoost,0.831004732631044,0.8491928932878766,0.8805397535549654,0.9688404309369493
