,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
xgBoostLSTM0Layer_2,0.8644858848068067,0.8621343159604262,0.8644858848068067,0.8742255471680177,0.8722259134614467,0.8644858848068067,0.8644858848068067,0.8631115101689879,0.8644858848068068,0.865412709583176
xgBoostLSTM1Layer_2,0.8731594490221589,0.8684129847294706,0.8731594490221589,0.8759946355186565,0.8749011466098701,0.8731594490221589,0.8731594490221589,0.8707547718705724,0.8731594490221589,0.873712470156642
xgBoostLSTM2Layer_2,0.8807178406955373,0.8768302962307946,0.8807178406955373,0.880989159969479,0.8782078708326173,0.8807178406955373,0.8807178406955373,0.8774908346873598,0.8807178406955373,0.8808266530879749
xgBoostLSTM3Layer_2,0.8755963075398054,0.8712999874628964,0.8755963075398054,0.8761884054327577,0.87374727248214,0.8755963075398054,0.8755963075398054,0.8724272415315213,0.8755963075398054,0.8758006026755597
xgBoostLSTM4Layer_2,0.8530760175949446,0.8481158112466859,0.8530760175949446,0.8541964987935778,0.8514891749981399,0.8530760175949446,0.8530760175949446,0.8495864919815095,0.8530760175949447,0.853430150863422
xgBoostLSTM5Layer_2,0.8555851558143858,0.8518558612643343,0.8555851558143858,0.8553454706774439,0.8504078914459474,0.8555851558143858,0.8555851558143858,0.8511012509266431,0.8555851558143857,0.8554362792865171
xgBoostLSTM6Layer_2,0.8598806352353221,0.8579851068983552,0.8598806352353221,0.8595067741127346,0.8522645050624428,0.8598806352353221,0.8598806352353221,0.8547251790509658,0.8598806352353221,0.8593165982618527
xgBoostLSTM7Layer_2,0.8584040641843752,0.8562408560436309,0.8584040641843752,0.8580026508241226,0.8510036352212778,0.8584040641843752,0.8584040641843752,0.8532797488623282,0.8584040641843753,0.8578799961330404
xgBoostLSTM0Layer_4,0.8176486380439048,0.6448826205358801,0.8176486380439048,0.8350830664645075,0.6580810795654899,0.8176486380439048,0.8176486380439048,0.6456149261521271,0.8176486380439048,0.8239172887585217
xgBoostLSTM1Layer_4,0.7688598393325485,0.6352850240980403,0.7688598393325485,0.7993288211167277,0.7121057523434189,0.7688598393325485,0.7688598393325485,0.6433209065743313,0.7688598393325486,0.7783521623638224
xgBoostLSTM2Layer_4,0.7500877682093221,0.5874545381255165,0.7500877682093221,0.7684011119901941,0.616660090244075,0.7500877682093221,0.7500877682093221,0.5968880622206301,0.7500877682093221,0.7580726583277265
xgBoostLSTM3Layer_4,0.7986803791586643,0.6244319992924424,0.7986803791586643,0.7997106404472349,0.6129306021770182,0.7986803791586643,0.7986803791586643,0.610560143958672,0.7986803791586643,0.7948164634524888
xgBoostLSTM4Layer_4,0.8005906284203788,0.6517188640267061,0.8005906284203788,0.8048310857540175,0.6677875412336368,0.8005906284203788,0.8005906284203788,0.645876966613447,0.8005906284203786,0.798276596966937
xgBoostLSTM5Layer_4,0.7985254940833901,0.6773679958789643,0.7985254940833901,0.8018827266330565,0.7141107683418816,0.7985254940833901,0.7985254940833901,0.6742209874421637,0.7985254940833901,0.7935793780901647
xgBoostLSTM6Layer_4,0.7717407017326477,0.6480604053510179,0.7717407017326477,0.77794784207835,0.6959164028806004,0.7717407017326477,0.7717407017326477,0.6483148031165548,0.7717407017326479,0.7686915677118489
xgBoostLSTM7Layer_4,0.7789273692253681,0.6557723846293341,0.7789273692253681,0.7828126815832104,0.6977090672140367,0.7789273692253681,0.7789273692253681,0.6536898621526948,0.7789273692253681,0.7742203227088748
xgBoostLSTM0Layer_6,0.79583049377362,0.5645128591988148,0.79583049377362,0.8047779141310312,0.5407550725317224,0.79583049377362,0.79583049377362,0.5330993285542655,0.7958304937736201,0.7876103248843659
xgBoostLSTM1Layer_6,0.7744873304008426,0.4957832732944823,0.7744873304008426,0.7805235660389258,0.5008051084074487,0.7744873304008426,0.7744873304008426,0.4647888917643904,0.7744873304008426,0.7702210102057105
xgBoostLSTM2Layer_6,0.7787931354934639,0.5149735929381013,0.7787931354934639,0.7785049756248106,0.5027071426434029,0.7787931354934639,0.7787931354934639,0.4854917347281344,0.7787931354934639,0.7744166299397565
xgBoostLSTM3Layer_6,0.7673522912665469,0.5137272122757582,0.7673522912665469,0.7737227221143396,0.5152355063664859,0.7673522912665469,0.7673522912665469,0.4826351785127244,0.767352291266547,0.7637198134759227
xgBoostLSTM4Layer_6,0.7529996076244759,0.4955100329124701,0.7529996076244759,0.7584667826855359,0.5077295535449314,0.7529996076244759,0.7529996076244759,0.4731083548593426,0.7529996076244759,0.7495184114061527
xgBoostLSTM5Layer_6,0.7502839559713359,0.4972091044768518,0.7502839559713359,0.7535689448611392,0.5064642873376812,0.7502839559713359,0.7502839559713359,0.4733735834859423,0.7502839559713359,0.7453448347738352
xgBoostLSTM6Layer_6,0.7593705470540859,0.5096032731737806,0.7593705470540859,0.7611711024037212,0.510645915286241,0.7593705470540859,0.7593705470540859,0.4823477457762066,0.7593705470540859,0.7538230753624396
xgBoostLSTM7Layer_6,0.7578216963013444,0.508173075930953,0.7578216963013444,0.7602846113898952,0.5112988809923675,0.7578216963013444,0.7578216963013444,0.4825940450764006,0.7578216963013444,0.7531936892985964
xgBoostLSTM0Layer_8,0.7494888792515954,0.4074736499087195,0.7494888792515954,0.7390651567351592,0.3875894462947249,0.7494888792515954,0.7494888792515954,0.3896270168158125,0.7494888792515954,0.7393427987056534
xgBoostLSTM1Layer_8,0.7522251822481052,0.4427104662170814,0.7522251822481052,0.7383737198147456,0.4498096583102359,0.7522251822481052,0.7522251822481052,0.4123552705943853,0.7522251822481052,0.7364524506065879
xgBoostLSTM2Layer_8,0.7377176135307602,0.41877952876642577,0.7377176135307602,0.7231663275657809,0.3924853437796001,0.7377176135307602,0.7377176135307602,0.3839512779521703,0.7377176135307599,0.7210327454976924
xgBoostLSTM3Layer_8,0.7359002953142102,0.4363166287458781,0.7359002953142102,0.7211114259716079,0.4510210182130454,0.7359002953142102,0.7359002953142102,0.411871183541617,0.7359002953142102,0.7217455208482497
xgBoostLSTM4Layer_8,0.7565929413708362,0.4878116052485634,0.7565929413708362,0.7393419050132014,0.4388256274388453,0.7565929413708362,0.7565929413708362,0.4511711383683586,0.7565929413708363,0.7389887493846463
xgBoostLSTM5Layer_8,0.7534539371786134,0.4860143530403576,0.7534539371786134,0.7346870773001313,0.4252146716429585,0.7534539371786134,0.7534539371786134,0.4423065744565904,0.7534539371786134,0.7335629502172991
xgBoostLSTM6Layer_8,0.7580075583916733,0.4877638881221396,0.7580075583916733,0.7394412243591001,0.4442555700300087,0.7580075583916733,0.7580075583916733,0.44770496729737935,0.7580075583916733,0.7383111890840399
xgBoostLSTM7Layer_8,0.7598352022799083,0.5032493119224224,0.7598352022799083,0.7416180549324202,0.4341489711239964,0.7598352022799083,0.7598352022799083,0.4526417846226778,0.7598352022799083,0.7387803436808773
